"ID","shape","outlierType","outlierPosition","choice","success","rt","majorityOfMostRegularShapes","rot1","rot2","rot3","rot4","rot5","rot6","dil1","dil2","dil3","dil4","dil5","dil6","usedTouchscreen","population","age","classe"
"ARIELLE","hinge",3,2,5,0,2148,TRUE,"5","6","2","3","4","1","3","4","6","2","1","5",TRUE,"baboons",NA,NA
"ARIELLE","losange",2,4,5,1,2980,TRUE,"5","6","2","4","1","3","5","1","3","2","6","4",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",3,4,3,0,4262,TRUE,"5","1","6","2","3","4","3","2","1","5","4","6",TRUE,"baboons",NA,NA
"ARIELLE","losange",1,3,4,1,4551,FALSE,"1","3","4","2","5","6","5","3","6","2","4","1",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",3,0,6,0,1012,FALSE,"3","1","2","4","5","6","3","6","5","2","4","1",TRUE,"baboons",NA,NA
"ARIELLE","hinge",2,2,4,0,1668,FALSE,"4","6","3","2","1","5","1","2","5","3","4","6",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",1,1,2,1,4418,TRUE,"2","6","3","1","5","4","5","2","1","4","6","3",TRUE,"baboons",NA,NA
"ARIELLE","kite",2,5,3,0,1770,FALSE,"3","4","5","2","6","1","1","4","5","6","2","3",TRUE,"baboons",NA,NA
"ARIELLE","losange",0,1,4,0,2230,FALSE,"1","6","4","5","2","3","6","2","1","4","5","3",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",0,5,3,0,1953,FALSE,"4","1","6","3","5","2","3","6","1","2","4","5",TRUE,"baboons",NA,NA
"ARIELLE","kite",2,4,5,1,2641,TRUE,"2","4","5","6","3","1","2","1","4","5","6","3",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",2,4,5,1,699,TRUE,"5","4","3","6","2","1","4","3","2","1","6","5",TRUE,"baboons",NA,NA
"ARIELLE","hinge",1,2,5,0,1371,FALSE,"1","6","4","3","2","5","1","5","2","6","3","4",TRUE,"baboons",NA,NA
"ARIELLE","hinge",2,0,1,1,3000,TRUE,"5","4","1","2","6","3","4","2","3","5","6","1",TRUE,"baboons",NA,NA
"ARIELLE","losange",1,0,2,0,1742,TRUE,"5","6","1","4","3","2","2","4","3","1","5","6",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",1,1,2,1,1988,FALSE,"5","3","6","1","4","2","3","5","1","2","4","6",TRUE,"baboons",NA,NA
"ARIELLE","square",2,3,4,1,1730,FALSE,"4","1","6","5","2","3","1","3","2","6","4","5",TRUE,"baboons",NA,NA
"ARIELLE","losange",2,2,5,0,973,FALSE,"3","4","2","6","1","5","3","4","6","2","1","5",TRUE,"baboons",NA,NA
"ARIELLE","random",3,4,4,0,1641,TRUE,"5","2","1","3","6","4","3","1","5","6","2","4",TRUE,"baboons",NA,NA
"ARIELLE","random",0,3,4,1,2309,TRUE,"4","6","3","1","2","5","1","4","3","6","2","5",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",1,1,5,0,3027,FALSE,"5","2","6","3","1","4","4","3","5","6","2","1",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",1,2,4,0,2250,FALSE,"5","4","2","3","6","1","2","3","5","4","1","6",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",1,1,1,0,2961,FALSE,"4","3","6","1","2","5","1","3","2","4","6","5",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",1,5,2,0,3938,FALSE,"4","5","6","3","2","1","3","5","4","2","1","6",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",2,0,1,1,1078,TRUE,"2","5","4","3","1","6","1","6","5","3","4","2",TRUE,"baboons",NA,NA
"ARIELLE","losange",3,0,4,0,2777,TRUE,"2","5","3","1","6","4","4","3","1","6","5","2",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",0,5,6,1,2938,TRUE,"6","1","3","2","5","4","1","4","3","5","6","2",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",2,1,5,0,1551,FALSE,"6","4","5","3","1","2","5","4","6","1","3","2",TRUE,"baboons",NA,NA
"ARIELLE","losange",0,1,4,0,4109,TRUE,"4","2","5","1","6","3","6","1","2","4","3","5",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",3,5,6,1,2480,TRUE,"1","3","6","2","4","5","1","5","3","4","6","2",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",2,5,6,1,4449,TRUE,"4","1","2","5","3","6","2","3","5","4","1","6",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",3,0,2,0,2520,FALSE,"5","1","6","2","3","4","6","1","3","2","4","5",TRUE,"baboons",NA,NA
"ARIELLE","hinge",3,1,2,1,1969,FALSE,"2","4","1","6","5","3","4","1","3","5","6","2",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",2,2,6,0,1809,FALSE,"1","5","4","3","6","2","4","2","1","3","5","6",TRUE,"baboons",NA,NA
"ARIELLE","square",1,4,5,1,2809,TRUE,"6","3","1","4","5","2","2","5","3","1","4","6",TRUE,"baboons",NA,NA
"ARIELLE","hinge",0,5,6,1,2070,TRUE,"4","3","2","5","1","6","4","2","5","3","1","6",TRUE,"baboons",NA,NA
"ARIELLE","kite",0,2,2,0,2020,FALSE,"4","1","6","5","2","3","3","2","1","4","6","5",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",2,0,6,0,3891,FALSE,"1","3","5","6","4","2","6","1","5","3","4","2",TRUE,"baboons",NA,NA
"ARIELLE","random",0,3,2,0,3031,FALSE,"5","6","2","4","3","1","5","6","1","3","4","2",TRUE,"baboons",NA,NA
"ARIELLE","random",2,4,1,0,3871,FALSE,"3","4","5","1","2","6","1","6","4","2","3","5",TRUE,"baboons",NA,NA
"ARIELLE","square",3,4,3,0,2250,FALSE,"6","1","5","4","3","2","4","6","5","2","1","3",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",0,0,5,0,953,FALSE,"3","2","6","1","5","4","6","4","1","5","2","3",TRUE,"baboons",NA,NA
"ARIELLE","square",2,2,3,1,1820,TRUE,"4","6","2","5","3","1","2","4","3","1","5","6",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",0,0,3,0,2559,FALSE,"5","6","1","3","2","4","6","5","2","1","3","4",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",1,4,2,0,2039,TRUE,"5","1","2","6","3","4","6","4","2","5","3","1",TRUE,"baboons",NA,NA
"ARIELLE","random",1,3,1,0,2000,TRUE,"5","1","6","2","3","4","4","6","2","1","5","3",TRUE,"baboons",NA,NA
"ARIELLE","kite",1,1,5,0,4422,TRUE,"4","3","1","5","6","2","6","2","3","5","1","4",TRUE,"baboons",NA,NA
"ARIELLE","kite",3,0,2,0,1422,TRUE,"4","1","3","6","2","5","1","5","6","3","2","4",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",2,2,1,0,3699,TRUE,"3","6","5","4","2","1","1","2","6","4","5","3",TRUE,"baboons",NA,NA
"ARIELLE","square",3,3,4,1,1629,TRUE,"3","4","5","6","1","2","6","2","3","5","1","4",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",3,3,4,1,4242,FALSE,"3","5","1","6","4","2","5","2","4","1","6","3",TRUE,"baboons",NA,NA
"ARIELLE","square",0,1,6,0,1156,TRUE,"4","1","6","5","3","2","3","6","4","1","5","2",TRUE,"baboons",NA,NA
"ARIELLE","random",2,0,6,0,1590,TRUE,"2","6","3","5","4","1","2","3","1","5","4","6",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",1,5,5,0,2480,TRUE,"6","4","5","2","1","3","6","4","1","3","5","2",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",3,4,4,0,3039,TRUE,"1","4","3","6","2","5","2","5","1","6","3","4",TRUE,"baboons",NA,NA
"ARIELLE","random",1,1,5,0,2000,FALSE,"2","5","4","6","1","3","1","2","3","4","5","6",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",1,2,5,0,2387,TRUE,"5","4","6","3","2","1","2","4","3","5","1","6",TRUE,"baboons",NA,NA
"ARIELLE","square",3,3,3,0,1539,FALSE,"3","4","6","5","1","2","3","5","1","6","2","4",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",0,0,1,1,3090,TRUE,"6","1","3","5","2","4","6","4","3","2","5","1",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",0,5,2,0,3629,TRUE,"4","1","6","3","5","2","1","5","3","4","2","6",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",3,0,6,0,1461,TRUE,"3","4","5","1","2","6","6","3","1","2","5","4",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",2,3,3,0,1430,TRUE,"5","4","3","1","2","6","5","1","3","2","6","4",TRUE,"baboons",NA,NA
"ARIELLE","kite",2,5,6,1,2348,FALSE,"2","6","5","1","4","3","2","4","1","3","6","5",TRUE,"baboons",NA,NA
"ARIELLE","losange",3,0,1,1,2449,TRUE,"5","2","6","1","4","3","5","4","2","3","6","1",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",3,1,1,0,2191,FALSE,"6","4","5","1","2","3","1","2","5","6","4","3",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",1,1,6,0,1961,FALSE,"3","2","5","1","4","6","4","5","3","1","2","6",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",2,3,3,0,4102,TRUE,"1","4","5","6","3","2","5","6","4","1","3","2",TRUE,"baboons",NA,NA
"ARIELLE","square",2,4,4,0,2684,FALSE,"4","1","5","6","2","3","3","6","2","4","5","1",TRUE,"baboons",NA,NA
"ARIELLE","losange",1,5,2,0,1328,FALSE,"4","1","6","2","5","3","3","2","4","5","6","1",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",2,2,3,1,1520,FALSE,"3","2","6","4","5","1","1","3","5","4","6","2",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",2,3,4,1,2641,TRUE,"1","4","5","2","3","6","6","5","1","3","2","4",TRUE,"baboons",NA,NA
"ARIELLE","random",3,0,3,0,2391,FALSE,"3","5","6","4","2","1","4","3","1","6","5","2",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",0,2,3,1,2070,FALSE,"2","3","1","5","6","4","6","1","3","5","2","4",TRUE,"baboons",NA,NA
